mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
0.3982509771982829,0.013636412720077063,0.011107842127482096,0.00236614478854421,3,50,50,"{'max_depth': 3, 'min_samples_leaf': 50, 'min_samples_split': 50}",0.16573997768987211,0.15598781341191517,0.1504979373919355,0.15740857616457427,0.006303114214972808,81
0.4192036787668864,0.050257408800101495,0.00854794184366862,0.0017730177596301238,3,50,100,"{'max_depth': 3, 'min_samples_leaf': 50, 'min_samples_split': 100}",0.16573997768987211,0.15598781341191517,0.1504979373919355,0.15740857616457427,0.006303114214972808,81
0.35139966011047363,0.03231793093985722,0.010114272435506185,0.001042764485404191,3,50,250,"{'max_depth': 3, 'min_samples_leaf': 50, 'min_samples_split': 250}",0.16573997768987211,0.15598781341191517,0.1504979373919355,0.15740857616457427,0.006303114214972808,81
0.41415198644002277,0.03021501218341656,0.009384393692016602,0.001498417618493627,3,50,500,"{'max_depth': 3, 'min_samples_leaf': 50, 'min_samples_split': 500}",0.16573997768987211,0.15598781341191517,0.1504979373919355,0.15740857616457427,0.006303114214972808,81
0.3804627259572347,0.02409123939480337,0.010292847951253256,0.002179544056776594,3,100,50,"{'max_depth': 3, 'min_samples_leaf': 100, 'min_samples_split': 50}",0.16573997768987211,0.15598781341191517,0.1504979373919355,0.15740857616457427,0.006303114214972808,81
0.3733813762664795,0.01701476652117813,0.008385578791300455,0.001764184504978275,3,100,100,"{'max_depth': 3, 'min_samples_leaf': 100, 'min_samples_split': 100}",0.16573997768987211,0.15598781341191517,0.1504979373919355,0.15740857616457427,0.006303114214972808,81
0.2930057843526204,0.18693765849846805,0.011081457138061523,0.001997722927566918,3,100,250,"{'max_depth': 3, 'min_samples_leaf': 100, 'min_samples_split': 250}",0.16573997768987211,0.15598781341191517,0.1504979373919355,0.15740857616457427,0.006303114214972808,81
0.03903420766194662,0.0035416933168383753,0.003518184026082357,0.004975463564610047,3,100,500,"{'max_depth': 3, 'min_samples_leaf': 100, 'min_samples_split': 500}",0.16573997768987211,0.15598781341191517,0.1504979373919355,0.15740857616457427,0.006303114214972808,81
0.04443057378133138,0.0023214051348815967,0.0045248667399088545,0.0016331910195831576,3,250,50,"{'max_depth': 3, 'min_samples_leaf': 250, 'min_samples_split': 50}",0.16573997768987211,0.15598781341191517,0.1504979373919355,0.15740857616457427,0.006303114214972808,81
0.04973665873209635,0.004641145332512378,0.009936253229777018,0.0008606458586315165,3,250,100,"{'max_depth': 3, 'min_samples_leaf': 250, 'min_samples_split': 100}",0.16573997768987211,0.15598781341191517,0.1504979373919355,0.15740857616457427,0.006303114214972808,81
